listing_id,brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
10189,70650,for_sale,142000,3,2,0.24,1203651,Birmingham,Alabama,35215,1022,12/17/19
10190,110001,for_sale,261900,4,3,0.46,706146,Center Point,Alabama,35215,1850,2/5/19
10191,110001,for_sale,85000,2,2,0.07,1822695,Birmingham,Alabama,35215,1108,7/12/21
10192,78813,for_sale,8500,3,2,1,1727591,Pinson,Alabama,35126,1980,
10193,84183,for_sale,249900,3,2,20,1424318,McCalla,Alabama,35111,1980,
10194,59369,for_sale,3512000,3,2,878,1961127,Odenville,Alabama,35120,1980,
10195,84185,for_sale,94900,3,2,5.8,1601553,Pinson,Alabama,35126,1980,
10196,59369,for_sale,17900,3,2,1.1,1086395,Odenville,Alabama,35120,1980,
10197,58435,for_sale,69900,3,2,2.78,399268,Trussville,Alabama,35173,1980,
10198,84185,for_sale,15000,3,2,0.4,1912297,Odenville,Alabama,35120,1980,
10199,69017,for_sale,34900,3,2,1.19,1509824,Pinson,Alabama,35126,1980,
10200,110135,for_sale,1150000,5,4,1.4,1429793,Trussville,Alabama,35173,6000,5/22/19
10201,25615,for_sale,24500,3,2,0.63,1950442,Odenville,Alabama,35120,1980,
10202,48738,for_sale,245000,3,2,1.1,1712916,Trussville,Alabama,35173,1980,
10203,84185,for_sale,29900,3,2,0.6,1530181,Trussville,Alabama,35173,1980,11/5/98
10204,47173,for_sale,65000,3,2,0.48,672035,Trussville,Alabama,35173,1980,
10205,106414,for_sale,34900,3,2,0.5,75595,Odenville,Alabama,35120,1980,
10206,30756,for_sale,7000000,3,2,127,1538740,Trussville,Alabama,35173,1980,
10207,84176,for_sale,430027,5,5,0.54,1498957,Pinson,Alabama,35126,3913,
10208,92672,for_sale,29900,3,2,3.1,1737674,Pinson,Alabama,35126,1980,
10209,32854,for_sale,24900,3,2,0.7,1633963,Trussville,Alabama,35173,1980,
10210,78813,for_sale,20000,3,2,1.05,1602115,Trussville,Alabama,35173,1980,
10211,30297,for_sale,55900,3,2,1.3,1603358,Birmingham,Alabama,35126,1980,
10212,32854,for_sale,24900,3,2,4,1630480,Trussville,Alabama,35173,1980,
10213,32854,for_sale,24900,3,2,0.7,1634342,Trussville,Alabama,35173,1980,
10214,32854,for_sale,24900,3,2,0.7,1632319,Trussville,Alabama,35173,1980,
10215,30297,for_sale,25000,3,2,0.5,1666674,Pinson,Alabama,35126,1980,8/3/21
10216,84185,for_sale,225000,3,2,1.87,2000716,Trussville,Alabama,35173,1980,
10217,92672,for_sale,528000,3,2,44,1586919,Trussville,Alabama,35173,1980,
10218,53239,for_sale,28000,3,2,0.75,1506035,Pinson,Alabama,35126,1980,
10219,53239,for_sale,30000,3,2,0.56,1641712,Trussville,Alabama,35173,1980,
10220,53239,for_sale,30000,3,2,0.37,1641322,Trussville,Alabama,35173,1980,
10221,53239,for_sale,30000,3,2,0.45,1641062,Trussville,Alabama,35173,1980,4/14/03
10222,53239,for_sale,30000,3,2,0.31,1641651,Trussville,Alabama,35173,1980,
10223,53239,for_sale,25000,3,2,0.26,1506694,Pinson,Alabama,35126,1980,
10224,53239,for_sale,25000,3,2,0.39,1506076,Pinson,Alabama,35126,1980,
10225,21257,for_sale,315000,3,2,0.7,1421384,Trussville,Alabama,35173,1654,
10226,21257,for_sale,334000,3,2,0.7,1416638,Trussville,Alabama,35173,1807,
10227,68543,for_sale,371580,4,4,0.7,503482,Springville,Alabama,35146,2443,
10228,21257,for_sale,384935,3,2,0.7,1422657,Trussville,Alabama,35173,2128,
10229,68543,for_sale,334890,3,2,0.7,480113,Springville,Alabama,35146,1986,
10230,21257,for_sale,349000,3,3,0.7,1430910,Trussville,Alabama,35173,2085,
10231,68543,for_sale,367950,4,3,0.7,529164,Springville,Alabama,35146,2539,
10232,21257,for_sale,420220,4,4,0.7,1422340,Trussville,Alabama,35173,3076,
10233,68543,for_sale,375064,5,4,0.7,474848,Springville,Alabama,35146,2704,
10234,80848,for_sale,241440,3,3,0.12,812123,Odenville,Alabama,35120,1689,
10235,68543,for_sale,366255,4,4,0.7,477621,Springville,Alabama,35146,2322,
10236,68543,for_sale,375344,4,3,0.7,494354,Springville,Alabama,35146,2539,
10237,68543,for_sale,405216,4,4,0.7,485286,Springville,Alabama,35146,2714,
10238,24954,for_sale,894900,5,5,0.81,1423253,Trussville,Alabama,35173,4530,
10239,53239,for_sale,20000,3,2,0.46,1639097,Trussville,Alabama,35173,1980,
10240,53239,for_sale,35000,3,2,0.83,1635293,Trussville,Alabama,35173,1980,
10241,80848,for_sale,265650,5,3,0.23,82067,Odenville,Alabama,35120,2174,11/19/21
10242,68543,for_sale,337895,4,3,0.7,479087,Springville,Alabama,35146,2055,
10243,80848,for_sale,239250,4,2,0.12,168722,Odenville,Alabama,35120,1699,8/1/14
10244,80848,for_sale,223640,3,2,0.15,167837,Odenville,Alabama,35120,1446,
10245,21257,for_sale,389000,4,4,0.7,1416793,Trussville,Alabama,35173,2772,
10246,80848,for_sale,222890,3,2,0.12,1293173,Odenville,Alabama,35120,1446,8/1/14
10247,80848,for_sale,231150,3,2,0.12,153178,Odenville,Alabama,35120,1446,8/1/14
10248,80848,for_sale,243140,3,3,0.16,1223479,Odenville,Alabama,35120,1689,8/1/14
10249,84182,for_sale,9500,3,2,0.47,1732293,Pinson,Alabama,35126,1980,
10250,21257,for_sale,402000,5,4,0.7,1416898,Trussville,Alabama,35173,3247,
10251,21257,for_sale,308000,3,2,0.7,1421285,Trussville,Alabama,35173,1633,
10252,21257,for_sale,389000,4,4,0.7,1431999,Trussville,Alabama,35173,2511,
10253,21257,for_sale,360732,3,2,0.7,1422226,Trussville,Alabama,35173,1807,
10254,21257,for_sale,362000,3,3,0.7,1416208,Trussville,Alabama,35173,2085,
10255,21257,for_sale,352000,3,3,0.7,1417222,Trussville,Alabama,35173,2085,
10256,21257,for_sale,426900,4,4,0.7,1421983,Trussville,Alabama,35173,2772,
10257,21257,for_sale,392000,4,4,0.7,1419109,Trussville,Alabama,35173,2772,
10258,53423,for_sale,28400,3,2,0.69,1679872,Pinson,Alabama,35126,1980,12/6/21
10259,53423,for_sale,20000,3,2,0.48,1493065,Pinson,Alabama,35126,1980,
